Name,Type,Building,Floor,Location Description,Latitude,Longitude,StartingTime,ClosingTime,ImageURL
Pasta Express,Food,Frontier,1,Aircon section,1.2947819,103.7704435,0930hrs,1930hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmUD0So0a9tnpaQvZ14OeUzkiSDLX4MJiqAs1hm6t5CzjByx9gUT0GktsahO8CHZSOfNpb7SA3zKSl9yU0r5Ca_BFE8XEmt4JvWYadw6iTg6nkcFkXN6G-TctMa2yQtCguG9h5e=w408-h272-k-no
TOMORO COFFEE,Food/Coffee,Hon Sui Sen Memorial Library,2,Inside HSSML,1.2931259,103.7719943,0815hrs,1800hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkQQottowVVI2NVVhDZfDAEmIbA8ZqyIs-jx1C4deCKActV3lwvOPDmRTZ902JFteB3CM4gv0W8gQsmM5fowQ_oVdqrnM5ziKqwxG4yvFJfz36_q5jJ2vMbXPbX2YKjap55Ab2c=w408-h306-k-no
Octobox,Shopping,Prince George’s Park,2,Near PGP entrance,1.2904347,103.7787588,0000hrs,2359hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlA4Toa4tSE4KK1c-JORamlknrxZXraXrD2dAdfcMgmHPk1HyqWvVM9NOVTFpR3QM3qXlcOsQdDtrcdl9RzpFomNJAkazPtjmEJVEntPex_0ltOVaIatbucplmKax2s49281GPpnk7Btzk=w408-h306-k-no
Smooy,Food,COM3,1,The Terrace @ COM3,1.2948308,103.7716305,1100hrs,2100hrs,https://fkemumodynkaeojrrkbj.supabase.co/storage/v1/object/public/images/brands/e2d9c08f-e2f0-403c-8e78-dbe6167960e2/website/smooy/header-smooy-tarrina.png
Goh Bros E-Print Pte Ltd,Printing,Yusof Ishak House,5,Take the long staircase up YIH,1.2984905,103.7720544,0900hrs,1800hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm5NuiWtWZyjafM7uN_6Gu9iQZXaIrwmzxQMdizQUH1R2aQWL9SwOQDS4lyD_TtB_k5sBV4whaAtseI1fq74WgMRSUUnsTBtDmlL51bBtvLSF8FhHnGqgSUm9JM-GF-SgvFsZ1v=w408-h306-k-no
Cheers Unmanned Convenience Store,Shopping,Engineering Block E3,4,Take right from Arise n Shine,1.2994341,103.7526298,0000hrs,2359hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnH5mpLERSb_Yf7gsqMglXEDHGdVu8zE1tV2GdKNMT1KcUF7u6imG9Vjy-tepRUSFVsaEQeQgQFUKsxU_acX_kFwJ9OUri1rhzVDPhg31i1z33p3d7vaDJStF595Ou2ATOwJw5N=w408-h544-k-no
Nami,Food,innovation4.0,1,Opp TCOMS,1.2942982,103.7708813,0800hrs,1730hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWntNY4TO3Lb87QdhY0myxuoeYmI8-N9N3ExA2IM1pazJTfHH0-vbcM3jLv5lwG_8D2Mlxf4yuC8M-c8Pr3EvS9Gc4ZWEyJbTBR_I_ZrlqRBTMoKwzIv4N2uvmR_3WcVbGwg7aPZS1VY3fdZ=s1360-w1360-h1020-rw
Supersnacks,Food,Prince George’s Park,1,"At level 1 in Prince George's Park Residences, Block 10",1.2913847,103.7776367,1100hrs,0200hrs,https://uci.nus.edu.sg/wp-content/uploads/2024/02/Supersnacks-Edited-1024x684-1-898x600.jpg
Good Day Cafe,Food/Coffee,Medicine+Science Library,1,Inside MedScience library ,1.2967989,103.7794336,0730hrs,1830hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnmMPF_PW_yskgKVzZQzhxvMYOjqUvIkGTKAnt9M083VExnE23zxA_hF1fsFOhSYoanfZpxGhkI-wJ218hawyZXaZRLgKRxe0IsiCGUbbp6w5yqyVuJxzNU4NzUaa_Um3hYgFiI=w408-h306-k-no
The Coffee Roaster,Food/Coffee,Blk AS8,1,Behind central library bus stop,1.296252229,103.7720926,0800hrs,1730hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk65JqsLWtUmpRJwU3shE351_3yPnxVqBnd6i6NMcgZZsQEHesr1AWQC8JbtXPjNlNZRR2L-3I1vl3ik4niQQecuYeUeFidEP5FKOosrJCXmgdtRPl30XtQZB0N5RNNwpSQJnv5=w408-h271-k-no
he by He Brews,Food/Coffee,Engineering Block EA,1,Near LT7 & Engineering Auditorium,1.300566804,103.7707577,0800hrs,1700hrs,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWneOXivy1ZqDtOcywaoKrBqW59o4w179360AN9ad0a7jOp_wwaHluRjAhORj-9UQKkmFyutYwLAFAQUkJBvEPLnDmw-SwZ657drKFKDb4kdtxQYPNzbBnyNI33bk02xB1UT82vvxNw7Q_qt=w408-h306-k-no
